feature,importance
cp,0.14204997736459554
thal,0.12157104786377759
thalach,0.12129577109380234
oldpeak,0.11458512468120446
ca,0.09747700497286242
age,0.09423847336200307
chol,0.08915477749202903
trestbps,0.0748912605545069
slope,0.052332754239273506
exang,0.03649538858117452
sex,0.02600759634229401
restecg,0.020039473155325012
fbs,0.009861350297151744
